DATE,TMIN,TAVG,TMAX,PRCP,SNOW,WDIR,WSPD,WPGT,PRES,TSUN
2023-05-01,26 °C,31.4 °C,36 °C,0 mm,—,,11.7 km/h,—,1007.9 hPa,—
2023-05-02,28 °C,32.1 °C,37 °C,0.8 mm,—,,13.3 km/h,—,1008.8 hPa,—
2023-05-03,29 °C,32.2 °C,37 °C,0.9 mm,—,,15.4 km/h,—,1009.3 hPa,—
2023-05-04,29 °C,31.3 °C,36 °C,0.2 mm,—,,14.1 km/h,—,1007.8 hPa,—
2023-05-05,28 °C,31.6 °C,35 °C,0.4 mm,—,,10.6 km/h,—,1005.6 hPa,—
2023-05-06,29 °C,32.6 °C,38 °C,0 mm,—,,12.3 km/h,—,1004.5 hPa,—
2023-05-07,29 °C,31.4 °C,36 °C,0.2 mm,—,,14.4 km/h,—,1005 hPa,—
2023-05-08,25 °C,28.7 °C,35 °C,1 mm,—,,11.9 km/h,—,1006.6 hPa,—
2023-05-09,26 °C,27.9 °C,33 °C,18.4 mm,—,,6.8 km/h,—,1007.8 hPa,—
2023-05-10,26 °C,30.8 °C,36 °C,6.7 mm,—,,8.8 km/h,—,1008.3 hPa,—
2023-05-11,28 °C,30.1 °C,33 °C,3.3 mm,—,,8.8 km/h,—,1009.8 hPa,—
2023-05-12,27 °C,29.6 °C,34 °C,4.1 mm,—,,10.2 km/h,—,1010.2 hPa,—
2023-05-13,27 °C,30.6 °C,35 °C,1.9 mm,—,,8.7 km/h,—,1010.2 hPa,—
2023-05-14,28 °C,30.9 °C,36 °C,7.2 mm,—,,12.5 km/h,—,1010.3 hPa,—
2023-05-15,27 °C,30.6 °C,36 °C,1.9 mm,—,,8.1 km/h,—,1010.4 hPa,—
2023-05-16,25 °C,29 °C,33 °C,1.3 mm,—,,9.7 km/h,—,1010.5 hPa,—
2023-05-17,27 °C,29.7 °C,35 °C,18.1 mm,—,,8.5 km/h,—,1010.3 hPa,—
2023-05-18,26 °C,31.2 °C,36 °C,19.6 mm,—,,11.1 km/h,—,1009.3 hPa,—
2023-05-19,28 °C,31.9 °C,36 °C,6.4 mm,—,,12.5 km/h,—,1007.8 hPa,—
2023-05-20,24 °C,29.7 °C,34 °C,11 mm,—,,13.1 km/h,—,1007.8 hPa,—
2023-05-21,25 °C,27.5 °C,33 °C,12.7 mm,—,,9.1 km/h,—,1009.6 hPa,—
2023-05-22,25 °C,29.1 °C,35 °C,11.6 mm,—,,9.3 km/h,—,1010.1 hPa,—
2023-05-23,27 °C,30.4 °C,35 °C,13.1 mm,—,,10.8 km/h,—,1009.3 hPa,—
2023-05-24,28 °C,30.6 °C,35 °C,10.3 mm,—,,13.3 km/h,—,1009.2 hPa,—
2023-05-25,28 °C,30.2 °C,34 °C,9.1 mm,—,,10.7 km/h,—,1009.8 hPa,—
2023-05-26,26 °C,27.8 °C,33 °C,11.9 mm,—,,10.7 km/h,—,1009.3 hPa,—
2023-05-27,23 °C,26.4 °C,32 °C,25.1 mm,—,,7.4 km/h,—,1007.7 hPa,—
2023-05-28,25 °C,28.1 °C,32 °C,17.7 mm,—,,7.8 km/h,—,1006.7 hPa,—
2023-05-29,27 °C,28.8 °C,34 °C,10.1 mm,—,,9.7 km/h,—,1007.6 hPa,—
2023-05-30,27 °C,29.6 °C,34 °C,2.9 mm,—,,13.1 km/h,—,1007.6 hPa,—
2023-05-31,27 °C,28.9 °C,34 °C,5.8 mm,—,,14.8 km/h,—,1007.2 hPa,—
